preset,refDes,parameter,overlay
volcano,RS03AXBS-LJ03A-12-CTDPFB301,salinity,none
volcano,RS03AXBS-LJ03A-12-CTDPFB301,density,none
volcano,RS03AXBS-LJ03A-12-CTDPFB301,sea_water_pressure,none
volcano,RS03ASHS-MJ03B-10-CTDPFB304,temperature,none
volcano,RS03ASHS-MJ03B-10-CTDPFB304,salinity,none
volcano,RS03ASHS-MJ03B-10-CTDPFB304,density,none
volcano,RS03ASHS-MJ03B-10-CTDPFB304,sea_water_pressure,none
volcano,RS03CCAL-MJ03F-12-CTDPFB305,temperature,none
volcano,RS03CCAL-MJ03F-12-CTDPFB305,salinity,none
volcano,RS03CCAL-MJ03F-12-CTDPFB305,density,none
volcano,RS03CCAL-MJ03F-12-CTDPFB305,sea_water_pressure,none
volcano,RS03ECAL-MJ03E-12-CTDPFB306,temperature,none
volcano,RS03ECAL-MJ03E-12-CTDPFB306,salinity,none
volcano,RS03ECAL-MJ03E-12-CTDPFB306,density,none
volcano,RS03ECAL-MJ03E-12-CTDPFB306,sea_water_pressure,none
volcano,RS03INT2-MJ03D-11-CTDPFB307,temperature,none
volcano,RS03INT2-MJ03D-11-CTDPFB307,salinity,none
volcano,RS03INT2-MJ03D-11-CTDPFB307,density,none
volcano,RS03INT2-MJ03D-11-CTDPFB307,sea_water_pressure,none
volcano,RS03AXPS-SF03A-2A-CTDPFA302,temperature,none
volcano,RS03AXPS-SF03A-2A-CTDPFA302,salinity,none
volcano,RS03AXPS-SF03A-2A-CTDPFA302,density,none
volcano,RS03AXPS-SF03A-2A-CTDPFA302,sea_water_pressure,none
volcano,RS03AXPS-SF03A-2A-CTDPFA302,oxygen,none
volcano,RS03AXPS-PC03A-4A-CTDPFA303,temperature,none
volcano,RS03AXPS-PC03A-4A-CTDPFA303,salinity,none
volcano,RS03AXPS-PC03A-4A-CTDPFA303,density,none
volcano,RS03AXPS-PC03A-4A-CTDPFA303,sea_water_pressure,none
volcano,RS03AXPS-PC03A-4A-CTDPFA303,oxygen,none
volcano,RS03AXBS-MJ03A-06-PRESTA301,seafloor_pressure,none
marine-heatwave,CE02SHBP-LJ01D-06-CTDBPN106,temperature,clim
marine-heatwave,CE04OSBP-LJ01C-06-CTDBPO108,temperature,clim
marine-heatwave,RS01SLBS-LJ01A-12-CTDPFB101,temperature,clim
marine-heatwave,RS03AXBS-LJ03A-12-CTDPFB301,temperature,clim
marine-heatwave,RS03ASHS-MJ03B-10-CTDPFB304,temperature,clim
marine-heatwave,RS03CCAL-MJ03F-12-CTDPFB305,temperature,clim
marine-heatwave,RS03ECAL-MJ03E-12-CTDPFB306,temperature,clim
marine-heatwave,RS03INT2-MJ03D-11-CTDPFB307,temperature,clim
marine-heatwave,RS01SBPS-PC01A-4A-CTDPFA103,temperature,clim
marine-heatwave,CE04OSPS-PC01B-4A-CTDPFA109,temperature,clim
marine-heatwave,RS03AXPS-PC03A-4A-CTDPFA303,temperature,clim
marine-heatwave,RS01SBPS-SF01A-2A-CTDPFA102,temperature,clim
marine-heatwave,RS01SBPS-SF01A-2A-CTDPFA102,temperature,none
marine-heatwave,CE04OSPS-SF01B-2A-CTDPFA107,temperature,clim
marine-heatwave,CE04OSPS-SF01B-2A-CTDPFA107,temperature,none
marine-heatwave,RS03AXPS-SF03A-2A-CTDPFA302,temperature,clim
marine-heatwave,RS03AXPS-SF03A-2A-CTDPFA302,temperature,none
